,1997,1998,1999,2000,2001,2002,2003,2004
            Waste management and remediation services,30.6,36.3,38.2,37.4,34.5,31.5,33.3,38.5
"    Educational services, health care, and social assistance",478.9,520.8,525.5,542.8,592.8,640.6,662.9,664.2
        Educational services,45.8,53.3,53.4,57.2,65.0,72.6,70.7,64.6
        Health care and social assistance,433.7,467.7,472.5,485.7,527.9,567.9,592.2,599.9
            Ambulatory health care services,193.9,208.8,210.9,214.4,234.4,249.6,268.6,277.5
            Hospitals,160.2,173.7,174.1,177.2,187.3,208.1,210.1,208.4
            Nursing and residential care facilities,50.8,55.3,54.2,55.6,58.8,59.6,63.1,64.0
            Social assistance,29.1,30.4,33.4,38.6,47.0,50.6,50.1,49.6
"    Arts, entertainment, recreation, accommodation, and food services",348.5,360.7,360.0,375.0,387.7,395.1,408.8,417.0
"        Arts, entertainment, and recreation",66.7,70.6,70.9,68.9,81.0,80.4,85.8,88.3
"            Performing arts, spectator sports, museums, and related activities",32.2,34.1,34.0,35.2,40.2,43.1,44.0,43.2
"            Amusements, gambling, and recreation industries",34.5,36.5,36.8,33.7,40.9,37.3,41.9,45.2
        Accommodation and food services,282.0,290.3,289.3,306.4,306.8,315.0,323.2,328.9
            Accommodation,63.4,65.7,66.9,74.8,70.6,70.8,71.7,73.3
            Food services and drinking places,218.6,224.6,222.4,231.6,236.2,244.1,251.4,255.5
"    Other services, except government",154.6,171.2,178.9,182.2,218.3,212.1,221.7,221.9
Government,820.8,856.1,905.2,922.2,992.8,1064.2,1084.5,1111.9
    Federal,221.3,213.3,224.9,226.5,255.1,288.2,324.8,347.1
        General government,192.0,185.9,195.3,198.0,223.2,257.9,295.8,320.9
            National defense,136.1,132.1,145.1,143.3,157.5,179.3,210.6,229.5
            Nondefense,55.9,53.8,50.2,54.7,65.7,78.5,85.2,91.4
        Government enterprises,29.6,27.6,29.9,28.7,32.1,30.5,29.1,26.3
    State and local,604.1,649.8,687.9,703.7,745.2,782.1,762.4,766.3
        General government,499.1,538.6,577.5,600.4,642.7,667.8,646.8,647.5
        Government enterprises,108.6,115.0,114.1,107.1,106.6,118.5,119.6,122.6
Not allocated by industry1,-261.4,-192.6,-149.8,-72.4,-69.9,-103.0,-16.0,-6.3
    Addenda:,,,,,,,,
Private goods-producing industries2,4992.8,5249.0,5377.4,5434.7,5248.3,5147.4,5087.2,5154.4
Private services-producing industries3,4284.7,4658.0,5060.1,5496.2,5437.9,5382.1,5575.0,5876.9
Information-communications-technology-producing industries 4,464.3,536.5,653.3,760.3,740.1,664.6,622.4,598.5
